IR #,Created,Date/Time of Incident,Location of Incident,Additional Info,Type of Bias,Type of Bias,Type of Bias 2,Type of Bias 3,Type of Bias 4,How the Bias/Intolerance was Demonstrated
03448-2019,"December 6, 2019 10:06 PM",12/6/19 18:26,Saunders Hall,,Anti-Asian,Anti-Asian,,,,"Social media, Written harassment/threat"
03466-2019,"December 7, 2019 5:05 PM",12/7/19 10:00,Unknown Location,,"Anti-Female, Sexual Orientation Bias (Nonspecific)",Anti-Female, Sexual Orientation Bias (Nonspecific),,,Social media
03476-2019,"December 8, 2019 11:51 PM",12/8/19 23:45,Bousfield Hall,Front desk of bousfield hall,Anti-Black / African American,Anti-Black / African American,,,,Spoken harassment/threat
03639-2019,"December 17, 2019 12:12 PM",12/16/19 0:00,Nugent Hall,"Nugent Hall
207 E Gregory Dr. 
Champaign, IL 61820",Anti-Gay,Anti-Gay,,,,Offensive language
03690-2019,"December 20, 2019 1:05 PM",12/15/19 2:15,LAR Main Building,,Anti-Black / African American,Anti-Black / African American,,,,"Discriminatory treatment, Offensive language, Other"
00002-2020,"January 3, 2020 8:30 AM",12/21/19 14:55,Busey Hall,,Gender/Sex,Gender/Sex,,,,"Spoken harassment/threat , Other"
01765-001-2019,"January 15, 2020 9:12 AM",11/19/18 14:00,Internet,,National Origin,National Origin,,,,"Offensive language, Social media"
01766-001-2019,"January 15, 2020 9:12 AM",11/20/18 14:00,Outdoor Property,Outside the Illini Union Bookstore,"Anti-Asian, Anti-Black / African American, Anti-Hispanic - Latinix, Racial/Ethnic Bias (Nonspecific)",Anti-Asian, Anti-Black / African American, Anti-Hispanic - Latinix, Racial/Ethnic Bias (Nonspecific),Graffiti/vandalism
01773-001-2019,"January 15, 2020 9:14 AM",12/13/18 2:00,Academic Building,,National Origin,National Origin,,,,Discriminatory treatment
00586-001-2019,"January 15, 2020 9:16 AM",2/25/19 17:26,Internet,"The reporting resident first reported the incident around 10:14 am on 2019-02-26. The reporting resident saw a post on the facebook page ""UIUC memes for underfunded teens"".",Anti-White,Anti-White,,,,"Offensive language, Social media"
01777-001-2019,"January 15, 2020 9:17 AM",3/10/19 14:00,Other Building,CRCE,"Anti-Asian, National Origin",Anti-Asian, National Origin,,,"Offensive language, Spoken harassment/threat"
01780-001-2019,"January 15, 2020 9:18 AM",3/16/19 14:00,Outdoor Property,Quad,Erroneously Reported,Erroneously Reported,,,,Offensive language
01782-001-2019,"January 15, 2020 9:18 AM",4/2/19 14:00,University Property,Committee of Diversity and Inclusion meeting,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Offensive language
01783-001-2019,"January 15, 2020 9:18 AM",4/2/19 14:00,Outdoor Property,Quad,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Spoken harassment/threat
01785-001-2019,"January 15, 2020 9:20 AM",4/23/19 14:00,Academic Building,,,,,,,Other
02470-001-2018,"January 15, 2020 9:23 AM",9/24/18 19:30,Wassaja Hall,Said Incident occurred on the 4th Floor of Wassaja Hall in RA Sophia's wing.,"Gender/Sex, Gender Identity/Expressionn",Gender/Sex, Gender Identity/Expressionn,,,Graffiti/vandalism
03051-001-2018,"January 15, 2020 9:25 AM",10/24/18 22:00,Evans Hall,This took place in the Evans Hall Multipurpose Room.,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
03830-001-2018,"January 15, 2020 9:26 AM",12/1/18 21:00,Internet,,Anti-Black / African American,Anti-Black / African American,,,,"Discriminatory treatment, Offensive language"
01772-001-2019,"January 15, 2020 9:27 AM",12/3/18 14:00,Academic Building,English Building,"Anti-Black / African American, Anti-Jewish/Anti-Semitic",Anti-Black / African American, Anti-Jewish/Anti-Semitic,,,Graffiti/vandalism
03788-001-2018,"January 15, 2020 9:27 AM",12/2/18 22:40,Hopkins Hall,,Anti-Gay,Anti-Gay,,,,"Discriminatory treatment, Graffiti/vandalism"
04025-001-2018,"January 15, 2020 9:28 AM",12/11/18 23:30,Wassaja Hall,Bathroom 2125,Anti-Gay,Anti-Gay,,,,Graffiti/vandalism
00020-2020,"January 17, 2020 9:47 AM",7/16/19 3:06,Internet,,Anti-Female,Anti-Female,,,,"Offensive language, Written harassment/threat"
00021-2020,"January 17, 2020 9:55 AM",7/19/19 14:00,Internet,,Sexual Orientation,Sexual Orientation,,,,"Offensive language, Written harassment/threat"
00022-2020,"January 17, 2020 10:38 AM",8/12/19 14:00,Internet,,"Anti-Female, Citizenship Status, Race/Ethnicity/Ancestry",Anti-Female, Citizenship Status, Race/Ethnicity/Ancestry,,"Offensive language, Social media"
00023-2020,"January 17, 2020 10:54 AM",8/23/19 14:00,Internet,Facebook/Twitter,"Gender/Sex, Gender Identity/Expressionn",Gender/Sex, Gender Identity/Expressionn,,,"Offensive language, Social media, Written harassment/threat"
00024-2020,"January 17, 2020 11:15 AM",9/4/19 14:00,University Property,Outside of the Women's Resources Center,Anti-Female,Anti-Female,,,,"Graffiti/vandalism, Offensive language"
00026-2020,"January 17, 2020 12:41 PM",9/6/19 14:00,Academic Building,Foreign Languages Bldg G8B,Gender Identity/Expressionn,Gender Identity/Expressionn,,,,Spoken harassment/threat
00027-2020,"January 17, 2020 1:03 PM",9/10/19 14:00,Outdoor Property,Main quad,"Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry",Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry,,,"Discriminatory treatment, Offensive language, Spoken harassment/threat , Written harassment/threat , Other"
00028-2020,"January 17, 2020 1:16 PM",9/11/19 14:01,Outdoor Property,,"Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry",Anti-Jewish/Anti-Semitic, Race/Ethnicity/Ancestry,,,"Discriminatory treatment, Offensive language, Spoken harassment/threat , Written harassment/threat"
00029-2020,"January 17, 2020 4:31 PM",9/13/19 14:00,Outdoor Property,"University Property, Outdoor - Outside Foelinger and quad",,,,,,"Offensive language, Spoken harassment/threat"
00030-2020,"January 17, 2020 4:36 PM",9/6/19 14:00,Academic Building,University Building (Academic or Non-Residential) - Gregory Hall,Anti-Invisible Disability,Anti-Invisible Disability,,,,"Discriminatory treatment, Spoken harassment/threat , Written harassment/threat"
00031-2020,"January 17, 2020 4:42 PM",9/16/19 14:00,Internet,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Written harassment/threat
00032-2020,"January 17, 2020 4:47 PM",9/6/19 14:00,Academic Building,University Building (Academic or Non-Residential) - Foreign Languages Building,"Gender/Sex, Gender Identity/Expressionn, Sexual Orientation",Gender/Sex, Gender Identity/Expressionn, Sexual Orientation,,"Offensive language, Spoken harassment/threat , Written harassment/threat"
00033-2020,"January 17, 2020 4:51 PM",9/18/19 14:00,Academic Building,"University Building (Academic or Non-Residential) - Foreign languages building, girls bathroom, basement","Religion, Race/Ethnicity/Ancestry",Religion, Race/Ethnicity/Ancestry,,,Graffiti/vandalism
00122-2020,"January 27, 2020 12:43 AM",1/26/20 23:30,Scott Hall,,Anti-Asian,Anti-Asian,,,,"Offensive language, Other"
00142-2020,"January 29, 2020 10:10 AM",9/23/19 12:00,Internet,Social Media/SnapChat,,,,,,
00143-2020,"January 29, 2020 10:14 AM",10/1/19 12:00,Academic Building,Armory Building,,,,,,
00144-2020,"January 29, 2020 10:17 AM",10/1/19 12:00,Other Building,Ice Arena,,,,,,
00145-2020,"January 29, 2020 10:21 AM",10/1/19 12:00,Academic Building,Law Building,,,,,,
00146-2020,"January 29, 2020 10:30 AM",10/2/19 12:00,Phi Kappa Psi,,,,,,,
00147-2020,"January 29, 2020 10:38 AM",10/3/19 12:00,Academic Building,David Kinley Hall,,,,,,
00148-2020,"January 29, 2020 10:44 AM",10/3/19 12:00,Internet,,,,,,,
00149-2020,"January 29, 2020 10:53 AM",11/4/19 12:00,Other Building,The ARC,,,,,,
00150-2020,"January 29, 2020 10:57 AM",11/6/19 12:00,Academic Building,Grainger Library,,,,,,
00151-2020,"January 29, 2020 11:00 AM",11/7/19 12:00,Academic Building,The Armory Building,,,,,,
00152-2020,"January 29, 2020 11:09 AM",11/11/19 12:00,Academic Building,The English Building,,,,,,
00153-2020,"January 29, 2020 11:12 AM",11/12/19 12:00,Unknown Location,,,,,,,
00154-2020,"January 29, 2020 11:16 AM",11/13/19 12:00,Other Business,Murphy's Pub,,,,,,
00155-2020,"January 29, 2020 11:19 AM",11/13/19 12:00,Other Building,WRC (Women's Resource Center),,,,,,
00156-2020,"January 29, 2020 11:29 AM",11/17/19 12:00,Public Property,2nd and Green Streets,,,,,,
00157-2020,"January 29, 2020 11:32 AM",11/18/19 12:00,Academic Building,Foreign Languages Building,,,,,,
00158-2020,"January 29, 2020 11:34 AM",11/19/19 12:00,Internet,Online Reddit,,,,,,
00159-2020,"January 29, 2020 11:39 AM",11/13/19 12:00,Outdoor Property,Outside the bookstore ( near Kams),,,,,,
00160-2020,"January 29, 2020 11:41 AM",12/16/19 12:00,Internet,,,,,,,
00161-2020,"January 29, 2020 11:44 AM",12/17/19 12:00,Academic Building,Bevier Hall,,,,,,
00162-2020,"January 29, 2020 11:47 AM",12/19/19 12:00,Academic Building,Gregory Hall,,,,,,
00163-2020,"January 29, 2020 11:49 AM",1/10/20 12:00,Internet,,,,,,,
00170-2020,"January 29, 2020 11:06 PM",1/28/20 17:45,Babcock Hall,Babcock Hall floor 2,Sexual Orientation Bias (Nonspecific),Sexual Orientation Bias (Nonspecific),,,,"Discriminatory treatment, Spoken harassment/threat"
00202-2020,"January 30, 2020 1:56 PM",1/29/20 22:31,Babcock Hall,,Sexual Orientation,Sexual Orientation,,,,
00203-2020,"January 30, 2020 2:49 PM",11/14/19 12:00,Unknown Location,,,,,,,
00230-2020,"February 1, 2020 9:43 PM",2/1/20 18:00,Weston Hall,"204 E. Peadbody Dr, Champaign IL. 61820",Anti-Gay,Anti-Gay,,,,"Offensive language, Spoken harassment/threat"
00308-2020,"February 6, 2020 9:45 PM",2/5/20 18:45,Bousfield Hall,,Anti-Asian,Anti-Asian,,,,Social media
00383-2020,"February 11, 2020 9:31 AM",2/11/20 9:00,Weston Hall,"204 E Peabody Dr.

Located near womens wing bathroom (279).",Anti-Black / African American,Anti-Black / African American,,,,"Graffiti/vandalism, Offensive language, Written harassment/threat"
00501-2020,"February 21, 2020 4:54 PM",2/21/20 0:00,Busey Hall,,Anti-Black / African American,Anti-Black / African American,,,,"Discriminatory treatment, Offensive language, Spoken harassment/threat"
00535-2020,"February 24, 2020 11:41 AM",2/22/20 22:51,Unknown Location,This situation occurred via a GroupMe group chat labeled 'PAR RA's 2019/2020. Students labeled as 'Student Witnesses' are all parapros who have direct access to the group chat,"National Origin, Racial/Ethnic Bias (Nonspecific)",National Origin, Racial/Ethnic Bias (Nonspecific),,,"Offensive language, Social media"
00546-2020,"February 25, 2020 2:45 AM",2/22/20 1:30,Trelease Hall,,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
00590-2020,"February 28, 2020 3:28 PM",2/19/20 23:00,Carr Hall,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,
00592-2020,"February 28, 2020 3:51 PM",2/28/20 10:52,Wardall Hall,,"Anti-Jewish/Anti-Semitic, Racial/Ethnic Bias (Nonspecific)",Anti-Jewish/Anti-Semitic, Racial/Ethnic Bias (Nonspecific),,,Graffiti/vandalism
00600-2020,"February 29, 2020 10:00 PM",2/29/20 0:29,Blaisdell Hall,,Sexual Orientation Bias (Nonspecific),Sexual Orientation Bias (Nonspecific),,,,Offensive language
00618-2020,"March 2, 2020 2:26 PM",10/4/19 12:00,Internet,Snapchat,,,,,,
00619-2020,"March 2, 2020 2:32 PM",10/8/19 12:00,Fraternity or Sorority,Phi Kappa,,,,,,
00620-2020,"March 2, 2020 2:36 PM",10/9/19 12:00,Academic Building,Foreign Language Building,,,,,,
00621-2020,"March 2, 2020 2:38 PM",10/11/19 12:00,Academic Building,ACES Library,,,,,,
00622-2020,"March 2, 2020 2:49 PM",10/16/19 12:00,Other Building,Illini Chabad Center For Jewish Life,,,,,,
00624-2020,"March 2, 2020 2:54 PM",10/21/19 12:00,Other Building,Stadium,,,,,,
00625-2020,"March 2, 2020 3:03 PM",10/21/19 12:00,Unknown Location,,,,,,,
00626-2020,"March 2, 2020 3:11 PM",10/22/19 12:00,Public Property,Green Street [Near HERE Apts]/Green + Locust Streets/Green Street [in front of West Quad Apts],,,,,,
00627-2020,"March 2, 2020 3:14 PM",10/23/19 12:00,Outdoor Property,between foellinger + undergraduate library,,,,,,
00628-2020,"March 2, 2020 3:17 PM",10/25/19 12:00,Other Building,ARC MPR 6,,,,,,
00629-2020,"March 2, 2020 3:22 PM",10/28/19 12:00,Internet,email,,,,,,
00630-2020,"March 2, 2020 3:26 PM",10/30/19 12:00,Other Building,"Illini Union, Pine Lounge/ARC/Illini Union, Pine Lounge/Online -Facebook",,,,,,
00631-2020,"March 2, 2020 3:30 PM",1/31/20 12:00,Public Property,1st and Green,,,,,,
00632-2020,"March 2, 2020 3:31 PM",2/4/20 12:00,Apartment,,,,,,,
00633-2020,"March 2, 2020 3:33 PM",2/5/20 12:00,Other Building,ARC,,,,,,
00634-2020,"March 2, 2020 3:35 PM",2/5/20 12:00,Other Building,,,,,,,
00635-2020,"March 2, 2020 3:43 PM",2/12/20 12:00,Other Building,Illini Union,,,,,,
00636-2020,"March 2, 2020 3:45 PM",2/13/20 12:00,Other Building,Outside near UGL,,,,,,
00637-2020,"March 2, 2020 3:49 PM",2/17/20 12:00,Internet,KAMS Groupme,,,,,,
00638-2020,"March 2, 2020 3:51 PM",2/19/20 12:00,Academic Building,Music Building,,,,,,
00639-2020,"March 2, 2020 3:54 PM",2/20/20 12:00,Outdoor Property,22 N Bus stop at Illini Tower around 1pm,,,,,,
00689-2020,"March 5, 2020 5:37 PM",3/4/20 14:00,Van Doren Hall,"Yesterday, 3/4/2020 afternoon at 2:00pm a buildling service worker (BSW) at Taft Van Doren (TVD) came across a Swastika symbol in van doren (VD) the East stairwell between 1st and 2nd floors on the wall when you go up first flight of stairs.",Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Graffiti/vandalism
00700-2020,"March 6, 2020 11:10 AM",2/22/20 21:30,Other Building,ARC,"Anti-Male, Anti-Invisible Disability",Anti-Male, Anti-Invisible Disability,,,"Discriminatory treatment, Offensive language"
00702-2020,"March 6, 2020 11:18 AM",2/24/20 12:00,Internet,,Citizenship Status,Citizenship Status,,,,Discriminatory treatment
00703-2020,"March 6, 2020 11:23 AM",2/24/20 12:00,Academic Building,iSchool Building [Room 131],Anti-Invisible Disability,Anti-Invisible Disability,,,,Offensive language
00704-2020,"March 6, 2020 11:28 AM",2/28/20 12:00,Other Building,Ice Arena,Anti-American Indian or Alaskan Native,Anti-American Indian or Alaskan Native,,,,Other
00705-2020,"March 6, 2020 11:38 AM",2/28/20 12:00,Outdoor Property,Anniversary Plaza,"Anti-Gender Non-Conforming, Sexual Orientation Bias (Nonspecific)",Anti-Gender Non-Conforming, Sexual Orientation Bias (Nonspecific),,,Spoken harassment/threat
00706-2020,"March 6, 2020 11:43 AM",3/1/20 12:00,Public Property,MTD Bus,Racial/Ethnic Bias (Nonspecific),Racial/Ethnic Bias (Nonspecific),,,,Physical contact
00707-2020,"March 6, 2020 11:49 AM",3/3/20 12:00,Public Property,Wright + Green Street Intersection,Racial/Ethnic Bias (Nonspecific),Racial/Ethnic Bias (Nonspecific),,,,Offensive language
00708-2020,"March 6, 2020 11:54 AM",3/4/20 12:00,Public Property,5th + John Street [Johnstowne Center],Anti-Black / African American,Anti-Black / African American,,,,Offensive language
00709-2020,"March 6, 2020 12:01 PM",3/5/20 11:00,Other Building,Krannert Art Museum,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
00710-2020,"March 6, 2020 12:06 PM",3/3/20 0:41,Private Property,Uber Vehicle,Anti-Asian,Anti-Asian,,,,"Discriminatory treatment, Offensive language, Other"
00711-2020,"March 6, 2020 12:10 PM",3/5/20 12:15,Internet,Twitter,Erroneously Reported,Erroneously Reported,,,,Social media
00792-2020,"March 11, 2020 10:32 AM",3/11/20 0:30,Wassaja Hall,Took place online via groupme.,Anti-White,Anti-White,,,,Social media
00805-2020,"March 12, 2020 2:57 PM",3/11/20 9:00,Van Doren Hall,,Gender Bias (Nonspecific),Gender Bias (Nonspecific),,,,Graffiti/vandalism
00808-2020,"March 12, 2020 6:12 PM",3/12/20 3:30,Wassaja Hall,,"Anti-Black / African American, Anti-Jewish/Anti-Semitic",Anti-Black / African American, Anti-Jewish/Anti-Semitic,,,Offensive language
00876-2020,"March 27, 2020 1:43 PM",3/7/20 12:00,Public Property,Kams,,,,,,
00877-2020,"March 27, 2020 1:45 PM",3/11/20 12:00,Public Property,4th and Daniel,,,,,,
00878-2020,"March 27, 2020 1:48 PM",3/16/20 12:00,Internet,Twitter,,,,,,
00948-2020,"April 17, 2020 10:05 AM",4/10/20 14:00,Internet,Internet/Electronic - CS 101 piazza forum,National Origin,National Origin,,,,"Social media, Written harassment/threat"
00949-2020,"April 17, 2020 10:11 AM",4/13/20 14:00,Internet,ECE 391 discord text-channel,National Origin,National Origin,,,,"Offensive language, Written harassment/threat"
00950-2020,"April 17, 2020 10:21 AM",3/27/20 12:00,Academic Building,Foreign Languages Building,Anti-Invisible Disability,Anti-Invisible Disability,,,,Offensive language
00951-2020,"April 17, 2020 10:28 AM",3/28/20 12:00,Academic Building,Foreign Languages Building,Anti-Invisible Disability,Anti-Invisible Disability,,,,Offensive language
00952-2020,"April 17, 2020 10:30 AM",3/28/20 12:00,Academic Building,Davenport Hall,Anti-Invisible Disability,Anti-Invisible Disability,,,,Offensive language
00953-2020,"April 17, 2020 10:38 AM",3/30/20 19:50,Internet,Zoom,"Anti-Black / African American, National Origin",Anti-Black / African American, National Origin,,,"Graffiti/vandalism, Offensive language, Written harassment/threat"
01019-2020,"May 1, 2020 11:52 AM",4/17/20 12:00,Academic Building,Dance Building (Lincoln + Nevada),Ability Status,Ability Status,,,,"Discriminatory treatment, Offensive language"
01020-2020,"May 1, 2020 11:56 AM",4/17/20 12:00,Academic Building,Dance Building (Lincoln + Nevada),Ability Status,Ability Status,,,,"Discriminatory treatment, Offensive language"
01021-2020,"May 1, 2020 12:00 PM",4/22/20 12:00,Internet,TikTok/Social Media,Anti-Asian,Anti-Asian,,,,"Offensive language, Social media"
01022-2020,"May 1, 2020 12:10 PM",4/22/20 20:00,Public Property,"207 W John Street, Champaign IL",Anti-Asian,Anti-Asian,,,,"Discriminatory treatment, Physical contact"
01023-2020,"May 1, 2020 12:44 PM",4/27/20 22:06,Internet,"Illinois Cross Country Club Team + Illinois Track & Field Club Team
Zoom/Electronic Communication",Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Discriminatory treatment
01024-2020,"May 1, 2020 12:48 PM",4/29/20 12:00,Internet,Email,Ability Status,Ability Status,,,,Discriminatory treatment
01025-2020,"May 1, 2020 12:53 PM",4/30/20 12:00,Internet,Zoom,Ability Status,Ability Status,,,,Discriminatory treatment
01128-2020,"May 15, 2020 9:50 AM",5/1/20 0:00,Internet,ZOOM ISG meeting,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,"Discriminatory treatment, Spoken harassment/threat"
01130-2020,"May 15, 2020 9:54 AM",5/9/20 0:00,Internet,Facebook post,Anti-Gay,Anti-Gay,,,,"Offensive language, Social media"
01132-2020,"May 15, 2020 9:58 AM",2/7/20 0:00,Newman Hall,,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Offensive language
01395-2020,"June 15, 2020 3:25 PM",6/1/20 0:00,Internet,,"Anti-Black / African American, Anti-Hispanic - Latinix",Anti-Black / African American, Anti-Hispanic - Latinix,,,"Offensive language, Social media"
01396-2020,"June 15, 2020 3:28 PM",6/2/20 0:00,Internet,Facebook,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Social media
01397-2020,"June 15, 2020 3:34 PM",6/3/20 0:00,Internet,Twitter,Anti-Black / African American,Anti-Black / African American,,,,"Offensive language, Social media"
01398-2020,"June 15, 2020 3:38 PM",6/3/20 0:00,Internet,Facebook,"Anti-Asian, Anti-Black / African American, Anti-Hispanic - Latinix",Anti-Asian, Anti-Black / African American, Anti-Hispanic - Latinix,,"Offensive language, Social media"
01399-2020,"June 15, 2020 3:43 PM",6/3/20 0:00,Internet,,Anti-Black / African American,Anti-Black / African American,,,,Social media
01400-2020,"June 15, 2020 3:50 PM",6/7/20 0:00,Internet,Facebook,"Anti-Gay, Anti-Black / African American",Anti-Gay, Anti-Black / African American,,,"Offensive language, Social media"
01401-2020,"June 15, 2020 3:55 PM",6/9/20 0:00,Other Business,,Anti-American Indian or Alaskan Native,Anti-American Indian or Alaskan Native,,,,Graffiti/vandalism
